County Registered_Voters Total_Votes_Cast Voter_Turnout Absentee_By_Mail_Voters Early_Voters Percentage_Of_Early_Voters Percentage_of_Early_And_Absentee_Voters
Anderson 48,096 14,525 30.20% 278 6821 46.96% 48.87%
Bedford 23,660 5,742 24.27% 48 2284 39.78% 40.61%
Benton 11,954 4,789 40.06% 47 3079 64.29% 65.27%
Bledsoe 8,781 4,076 46.42% 80 1185 29.07% 31.04%
Blount 76,004 18,414 24.23% 219 6574 35.70% 36.89%
Bradley 62,690 18,548 29.59% 310 10558 56.92% 58.59%
Campbell 22,930 10,718 46.74% 155 4939 46.08% 47.53%
Cannon 7,960 4,294 53.94% 103 1694 39.45% 41.85%
Carroll 19,344 7,154 36.98% 118 3067 42.87% 44.52%
Carter 34,361 11,593 33.74% 264 4489 38.72% 41.00%
Cheatham 24,066 8,114 33.72% 104 4242 52.28% 53.56%
Chester 9,331 4,274 45.80% 56 2149 50.28% 51.59%
Claiborne 17,800 8,151 45.79% 170 3927 48.18% 50.26%
Clay 6,342 3,749 59.11% 171 1942 51.80% 56.36%
Cocke 20,938 8,113 38.75% 142 3717 45.82% 47.57%
Coffee 31,075 9,362 30.13% 98 4346 46.42% 47.47%
Crockett 9,634 3,746 38.88% 30 1860 49.65% 50.45%
Cumberland 38,625 15,460 40.03% 239 8696 56.25% 57.79%
Davidson 349,755 67,482 19.29% 735 28748 42.60% 43.69%
Decatur 7,849 4,033 51.38% 55 1944 48.20% 49.57%
DeKalb 13,089 3,738 28.56% 60 1338 35.79% 37.40%
Dickson 29,934 6,581 21.99% 257 4958 75.34% 79.24%
Dyer 22,677 10,276 45.31% 36 6047 58.85% 59.20%
Fayette 25,252 9,870 39.09% 76 3922 39.74% 40.51%
Fentress 12,451 7,066 56.75% 65 4545 64.32% 65.24%
Franklin 25,745 7,426 28.84% 106 3516 47.35% 48.77%
Gibson 31,059 10,141 32.65% 86 2786 27.47% 28.32%
Giles 19,109 5,277 27.62% 73 2491 47.20% 48.59%
Grainger 12,746 3,770 29.58% 122 1642 43.55% 46.79%
Greene 39,993 12,035 30.09% 225 4549 37.80% 39.67%
Grundy 8,629 2,845 32.97% 43 791 27.80% 29.31%
Hamblen 34,098 12,714 37.29% 201 6204 48.80% 50.38%
Hamilton 207,961 51,805 24.91% 656 15616 30.14% 31.41%
Hancock 5,044 3,495 69.29% 213 1865 53.36% 59.46%
Hardeman 16,454 6,612 40.18% 194 3340 50.51% 53.45%
Hardin 16,505 7,270 44.05% 61 3179 43.73% 44.57%
Hawkins 37,826 7,410 19.59% 171 3244 43.78% 46.09%
Haywood 11,149 4,811 43.15% 201 2065 42.92% 47.10%
Henderson 16,783 3,563 21.23% 25 1507 42.30% 43.00%
Henry 23,581 4,692 19.90% 51 2295 48.91% 50.00%
Hickman 14,407 6,262 43.46% 80 3082 49.22% 50.50%
Houston 5,465 2,988 54.68% 126 1446 48.39% 52.61%
Humphreys 12,169 5,007 41.15% 140 3068 61.27% 64.07%
Jackson 8,668 4,535 52.32% 146 1610 35.50% 38.72%
Jefferson 29,565 7,944 26.87% 159 3586 45.14% 47.14%
Johnson 10,600 5,629 53.10% 141 3522 62.57% 65.07%
Knox 281,293 63,280 22.50% 1,003 35436 56.00% 57.58%
Lake 4,355 2,648 60.80% 102 1571 59.33% 63.18%
Lauderdale 14,579 6,832 46.86% 303 3374 49.39% 53.82%
Lawrence 26,524 10,173 38.35% 118 4253 41.81% 42.97%
Lewis 8,367 4,413 52.74% 71 2517 57.04% 58.64%
Lincoln 19,650 8,281 42.14% 56 4355 52.59% 53.27%
Loudon 31,439 11,163 35.51% 209 6540 58.59% 60.46%
Macon 13,298 5,398 40.59% 80 3427 63.49% 64.97%
Madison 62,662 19,202 30.64% 243 9365 48.77% 50.04%
Marion 19,867 5,965 30.02% 69 1843 30.90% 32.05%
Marshall 17,736 7,450 42.00% 88 3802 51.03% 52.21%
Maury 46,091 16,749 36.34% 178 9321 55.65% 56.71%
McMinn 29,940 11,481 38.35% 169 6275 54.66% 56.13%
McNairy 15,382 6,070 39.46% 21 2354 38.78% 39.13%
Meigs 7,767 3,399 43.76% 71 1745 51.34% 53.43%
Monroe 30,082 11,910 39.59% 1,097 5466 45.89% 55.10%
Montgomery 91,886 17,397 18.93% 262 9847 56.60% 58.11%
Moore 4,424 2,246 50.77% 40 1034 46.04% 47.82%
Morgan 11,688 5,913 50.59% 95 2331 39.42% 41.03%
Obion 20,943 5,436 25.96% 37 2708 49.82% 50.50%
Overton 14,014 5,605 40.00% 81 2585 46.12% 47.56%
Perry 5,638 2,576 45.69% 78 1058 41.07% 44.10%
Pickett 4,368 2,539 58.13% 77 1113 43.84% 46.87%
Polk 11,347 4,170 36.75% 76 1845 44.24% 46.07%
Putnam 42,281 11,938 28.23% 208 5152 43.16% 44.90%
Rhea 19,802 9,079 45.85% 146 4747 52.29% 53.89%
Roane 35,301 12,279 34.78% 237 5859 47.72% 49.65%
Robertson 38,997 12,428 31.87% 111 5514 44.37% 45.26%
Rutherford 144,434 30,951 21.43% 290 14832 47.92% 48.86%
Scott 14,904 7,462 50.07% 297 4035 54.07% 58.05%
Sequatchie 8,812 3,837 43.54% 18 1785 46.52% 46.99%
Sevier 52,060 12,659 24.32% 100 5061 39.98% 40.77%
Shelby 600,349 179,466 29.89% 1,368 92667 51.63% 52.40%
Smith 12,875 6,851 53.21% 167 4151 60.59% 63.03%
Stewart 8,577 4,066 47.41% 138 2247 55.26% 58.66%
Sullivan 90,020 22,930 25.47% 415 12474 54.40% 56.21%
Sumner 100,078 20,895 20.88% 194 6164 29.50% 30.43%
Tipton 38,613 10,718 27.76% 96 6042 56.37% 57.27%
Trousdale 5,267 2,657 50.45% 32 1736 65.34% 66.54%
Unicoi 11,368 2,684 23.61% 40 1296 48.29% 49.78%
Union 11,955 5,481 45.85% 179 1481 27.02% 30.29%
Van Buren 4,586 2,339 51.00% 55 1182 50.53% 52.89%
Warren 22,165 5,413 24.42% 32 2347 43.36% 43.95%
Washington 63,095 16,278 25.80% 363 6538 40.16% 42.39%
Wayne 10,189 5,017 49.24% 94 2109 42.04% 43.91%
Weakley 20,942 4,189 20.00% 37 1671 39.89% 40.77%
White 15,365 6,978 45.41% 108 3132 44.88% 46.43%
Williamson 122,771 23,452 19.10% 105 8778 37.43% 37.88%
Wilson 67,506 23,629 35.00% 163 9781 41.39% 42.08%
